ItemId,categoryid,parentid
843,508,362
844,224,1487
848,1221,1426
849,619,145
850,1514,920
851,628,149
856,496,893
857,1298,335
858,844,1458
860,199,351
863,686,594
869,1650,1426
870,1114,113
871,342,500
872,624,871
875,1638,766
876,1196,1181
878,1493,594
881,1286,854
890,289,1416
891,242,1531
892,490,647
893,546,250
896,1007,485
897,173,788
898,130,145
899,209,293
900,1301,1034
903,976,1009
904,284,1009
906,1142,485
907,694,561
909,559,313
910,988,727
911,1672,1251
913,173,788
914,1474,480
915,1244,500
916,1301,1034
917,1082,866
918,958,1041
919,730,1482
921,1303,252
922,342,500
927,1477,206
928,1254,520
929,1255,587
931,769,587
933,1421,105
934,1247,593
936,1007,485
939,1680,587
940,1070,1423
943,289,1416
944,1343,25
945,586,1519
947,1221,1426
950,686,594
951,619,145
954,342,500
955,1333,127
958,1432,362
959,730,1482
960,248,1596
962,730,1482
963,5,1637
964,888,866
965,674,362
966,421,1424
969,173,788
970,324,1145
972,1483,561
973,1250,1423
974,1680,587
978,1247,593
979,1402,250
980,1338,1278
982,1404,593
985,1504,587
986,1421,105
989,208,33
992,1286,854
994,65,293
995,472,1259
997,333,1497
999,126,871
1001,1342,362
1004,48,500
1005,959,1095
1006,1167,250
1008,1542,745
1009,1113,1145
1017,1301,1034
1018,782,1562
1019,1680,587
1020,1120,250
1021,342,500
1027,1675,1550
1028,565,500
1030,1061,1259
1032,1301,1034
1033,1483,561
1034,374,131
1036,1007,485
1038,1483,561
1039,1233,1257
1044,130,145
1045,769,587
1047,1338,1278
1051,1250,1423
1055,1493,594
1059,282,113
1061,926,852
1063,173,788
1064,1073,580
1065,1376,480
1066,173,788
1068,1135,1329
1070,1007,485
1072,1613,250
1073,842,1518
1074,219,1081
1075,173,788
1077,220,795
1080,242,1531
1082,801,766
1083,1244,500
1085,535,426
1087,1007,485
1089,1338,1278
1091,1135,1329
1092,1069,362
1093,173,788
1094,1504,587
1096,1163,561
1097,1142,485
1098,1578,1249
1100,1250,1423
1102,475,1550
1107,525,1566
1108,1070,1423
1111,1400,335
1112,1287,1009
1114,1277,312
1115,1493,594
1118,84,1308
1119,1245,1259
1120,1374,1278
1121,976,1009
1124,337,653
1125,242,1531
1126,1196,1181
1128,1493,594
1131,806,1497
1132,1002,879
1134,1173,805
1136,1560,293
1139,1186,312
1140,126,871
1141,1233,1257
1142,84,1308
1143,730,1482
1144,414,206
1146,1625,1141
1149,1111,835
1153,565,500
1154,209,293
1155,389,1259
1156,1262,1658
1159,342,500
1160,769,587
1161,1404,593
1163,429,113
1165,327,92
1168,342,500
1169,769,587
1171,1277,312
1172,1084,194
1173,1493,594
1174,619,145
1175,1511,409
1179,1051,955
1180,1462,893
1185,518,362
1187,324,1145
1191,270,143
1193,289,1416
1195,1680,587
1196,337,653
1200,195,1079
1202,1674,1420
1203,1250,1423
1204,842,1518
1205,988,727
1206,926,852
1207,988,727
1209,469,1383
1210,173,788
1211,1593,1673
1214,844,1458
1216,1301,1034
1217,558,92
1220,1237,623
1221,1674,1420
1223,618,105
1225,692,213
1228,984,827
1229,342,500
1230,1250,1423
1231,342,500
1232,819,798
1234,1535,727
1235,463,250
1237,681,8
1239,1049,1606
1241,769,587
1243,111,362
1244,225,593
1246,191,1383
1249,48,500
1250,1675,1550
1253,173,788
1255,969,1141
1256,769,587
1257,1230,8
1259,1142,485
1261,390,1546
1262,242,1531
1263,209,293
1265,421,1424
1267,1645,1534
1269,353,755
1270,1605,1531
1271,1680,587
1272,1007,485
1275,1135,1329
1279,771,1251
1280,1375,805
1281,1542,745
1282,1345,1056
1283,360,1174
1285,819,798
1286,598,362
1289,1147,1027
1292,491,679
1295,1404,593
1296,242,1531
1298,562,986
1302,1404,593
1305,619,145
1306,1059,1696
1313,1510,1009
1314,1277,312
1316,1142,485
1317,1680,587
1319,1560,293
1326,586,1519
1327,342,500
1332,842,1518
1334,163,945
1335,769,587
1341,730,1482
1344,1002,879
1345,333,1497
1346,691,1079
1347,387,1621
1349,278,362
1350,1247,593
1352,1474,480
1354,1179,580
1355,284,1009
1356,595,186
1357,818,852
1358,1560,293
1360,1253,127
1363,389,1259
1364,769,587
1365,389,1259
1366,598,362
1369,996,1259
1370,421,1424
1372,1135,1329
1373,198,1009
1378,642,250
1379,1114,113
1382,437,92
1383,1301,1034
1384,217,908
1385,342,500
1386,518,362
1389,1493,594
1390,1120,250
1391,1163,561
1397,1051,955
1398,1203,755
1399,1167,250
1403,64,206
1407,173,788
1408,782,1562
1411,1111,835
1413,224,1487
1414,173,788
1415,911,1531
1416,598,362
1418,342,500
1423,987,1426
1425,1298,335
1428,436,1518
1429,1172,810
1431,1043,226
1433,618,105
1435,184,1009
1436,209,293
1439,958,1041
1441,436,1518
1442,1142,485
1444,1147,1027
1445,184,1009
1446,1070,1423
1448,921,143
1451,342,500
1452,342,500
1454,523,593
1455,665,520
1457,1007,485
1461,1250,1423
1467,828,293
1468,1680,587
1470,65,293
1471,1007,485
1473,199,351
1475,1244,500
1476,921,143
1480,844,1458
1482,746,1200
1484,242,1531
1485,1007,485
1486,1069,362
1489,494,768
1490,342,500
1492,421,1424
1494,1665,945
1495,160,605
1496,1529,805
1497,342,500
1498,730,1482
1499,126,871
1501,84,1308
1505,1245,1259
1506,1375,805
1512,1404,593
1516,1431,1066
1517,1250,1423
1519,769,587
1521,1620,937
1523,498,506
1529,924,1416
1530,292,1426
1534,512,362
1536,1277,312
1539,184,1009
1540,65,293
1543,333,1497
1545,324,1145
1546,929,1027
1548,1142,485
1550,999,1621
1551,1279,1606
1552,65,293
1554,173,788
1558,1403,440
1559,804,187
1562,1529,805
1563,1435,131
1565,683,1606
1566,1087,622
1567,1192,955
1570,209,293
1572,319,92
1576,1142,485
1578,1493,594
1580,1007,485
1581,911,1531
1583,342,500
1586,324,1145
1588,619,145
1589,619,145
1590,633,568
1591,979,1383
1592,1675,1550
1596,1172,810
1597,209,293
1600,1061,1259
1601,1301,1034
1604,316,605
1606,195,1079
1609,589,1308
1615,508,362
1621,130,145
1622,680,114
1623,806,1497
1630,1578,1249
1631,1135,1329
1632,999,1621
1633,1007,485
1635,1301,1034
1636,739,1181
1637,242,1531
1642,358,1257
1644,396,164
1645,1070,1423
1647,568,384
1648,996,1259
1649,741,362
1650,936,143
1652,130,145
1653,208,33
1654,769,587
1655,508,362
1660,1286,854
1662,196,1667
1663,598,362
1665,1007,485
1667,1248,1368
1669,1147,1027
1670,1051,955
1671,917,1374
1673,1404,593
1676,436,1518
1677,707,561
1678,173,788
1679,289,1416
1682,1135,1329
1684,209,293
1686,1384,1458
1688,730,1482
1690,958,1041
1691,179,1259
1697,730,1482
1700,333,1497
1701,173,788
1702,173,788
1703,324,1145
1704,1421,105
1706,1007,485
1708,173,788
1709,77,590
1712,184,1009
1715,1007,485
1717,575,1257
1720,1172,810
1721,1680,587
1724,844,1458
1726,977,871
1728,242,1531
1729,65,293
1731,158,1621
1733,403,1687
1734,1384,1458
1735,342,500
1738,1441,1566
1739,53,1202
1741,1070,1423
1742,1172,810
1743,1069,362
1745,421,1424
1753,227,602
1756,338,275
1758,1504,587
1759,769,587
1762,1607,593
1763,342,500
1768,282,113
1770,1142,485
1771,1069,362
1773,844,1458
1774,1285,1259
1775,1250,1423
1776,126,871
1777,769,587
1778,1301,1034
1779,1051,955
1782,111,362
1783,342,500
1784,389,1259
1785,642,250
1788,619,145
1790,173,788
1792,1244,500
1793,1167,250
1794,196,1667
1797,1408,1259
1799,1018,1331
1801,302,1458
1806,686,594
1808,1533,602
1809,1069,362
1811,1506,213
1819,1639,1181
1820,741,362
1823,1343,25
1824,434,968
1833,242,1531
1837,130,145
1838,598,362
1840,1142,485
1841,1171,938
1852,927,605
1855,780,1067
1856,196,1667
1860,589,1308
1861,1351,795
1862,1076,986
1864,1404,593
1865,1084,194
1869,741,362
1872,1070,1423
1874,1574,1257
1875,337,653
1879,633,568
1880,484,127
1882,259,71
1884,330,986
1885,1650,1426
1886,350,362
1888,1113,1145
1895,1051,955
1896,1233,1257
1897,242,1531
1898,619,145
1900,342,500
1902,126,871
1903,1663,1398
1905,1680,587
1906,236,647
1907,1646,114
1908,1280,605
1909,769,587
1910,196,1667
1911,1007,485
1917,1286,854
1918,816,623
1920,65,293
1923,1646,114
1924,704,1426
1928,472,1259
1929,1475,905
1930,242,1531
1931,361,872
1932,130,145
1933,1119,125
1934,936,143
1936,1680,587
1938,371,1482
1940,1285,1259
1941,84,1308
1942,1680,587
1946,646,1606
1947,1611,1081
1948,1068,947
1949,1542,745
1952,1441,1566
1953,184,1009
1956,1388,1249
1957,0,605
1958,479,520
1959,1506,213
1960,1325,1684
1961,737,854
1962,1301,1034
1963,1051,955
1965,1285,1259
1967,64,206
1970,924,1416
1972,1061,1259
1973,263,143
1975,1,854
1977,1248,1368
1984,175,1492
1987,1468,1136
1988,1680,587
1989,1070,1423
1990,342,500
1991,173,788
1993,251,194
1994,1435,131
1995,1117,14
1997,173,788
1998,320,854
2004,1343,25
2006,558,92
2009,1,854
2013,806,1497
2014,1061,1259
2015,1408,1259
2017,1301,1034
2022,1070,1423
2023,1171,938
2025,1301,1034
2026,330,986
2031,179,1259
2032,976,1009
2036,1250,1423
2038,1250,1423
2040,1167,250
2042,239,1515
2043,3,1281
2046,828,293
2047,267,1566
2050,1421,105
2052,730,1482
2054,242,1531
2055,1317,897
2057,1051,955
2062,342,500
2064,1415,14
2074,1029,1181
2075,730,1482
2077,508,362
2080,619,145
2081,1355,312
2082,1051,955
2083,342,500
2084,1007,485
2085,1007,485
2086,782,1562
2087,851,587
2089,1265,1136
2094,1196,1181
2095,1301,1034
2096,1279,1606
2097,342,500
2099,1135,1329
2100,1342,362
2102,598,362
2105,1605,1531
2108,595,186
2111,535,426
2114,1408,1259
2116,936,143
2117,598,362
2123,1477,206
2124,196,1667
2125,417,1215
2127,806,1497
2131,198,1009
2132,342,500
2133,160,605
2135,47,381
2138,746,1200
2139,338,275
2141,126,871
2142,1135,1329
2143,1051,955
2144,1462,893
2145,1388,1249
2146,161,351
2147,686,594
2150,1049,1606
2152,389,1259
2153,158,1621
2159,1489,1009
2162,263,143
2166,424,341
2168,421,1424
2172,1404,593
2173,1084,194
2174,256,1257
2175,1228,121
2179,1147,1027
2180,173,788
2181,1179,580
2182,1051,955
2185,683,1606
2186,1542,745
2188,354,1009
2189,1261,25
2190,769,587
2191,268,138
2194,1385,1202
2200,1233,1257
2201,173,788
2203,1677,896
2204,1173,805
2205,1560,293
2206,1325,1684
2208,1002,879
2210,984,827
2211,389,1259
2212,769,587
2213,512,362
2214,525,1566
2216,1625,1141
2218,619,145
2221,333,1497
2222,126,871
2227,828,293
2229,1244,500
2231,77,590
2232,304,1673
2234,914,226
2235,1511,409
2236,1135,1329
2237,1549,1329
2238,746,1200
2239,924,1416
2240,1301,1034
2241,1142,485
2242,545,143
2246,646,1606
2247,389,1259
2249,1554,1678
2251,1638,766
2254,492,362
2255,1196,1181
2256,1167,250
2260,1344,713
2263,292,1426
2264,769,587
2267,546,250
2271,130,145
2274,842,1518
2275,1317,897
2277,606,810
2278,1493,594
2279,1,854
2280,686,594
2281,342,500
2283,730,1482
2288,333,1497
2289,863,194
2292,421,1424
2293,1105,1424
2294,1172,810
2295,1348,92
2297,173,788
2302,1498,580
2304,1221,1426
2305,1196,1181
2306,330,986
2307,422,489
2310,403,1687
2311,1666,1684
2312,508,362
2313,491,679
2321,1007,485
2322,1317,897
2323,1070,1423
2324,331,1487
2327,65,293
2328,196,1667
2331,847,101
2332,958,1041
2333,1114,113
2337,491,679
2339,342,500
2341,523,593
2342,1248,1368
2343,1338,1278
2345,1051,955
2347,1338,1278
2348,342,500
2350,1285,1259
2351,1694,1621
2352,390,1546
2353,646,1606
2360,84,1308
2362,739,1181
2367,730,1482
2370,741,362
2373,1421,105
2374,929,1027
2375,828,293
2377,69,485
2379,289,1416
2380,941,1492
2384,769,587
2387,209,293
2390,1007,485
2391,173,788
2396,1404,593
2397,1503,580
2403,646,1606
2404,691,1079
2406,330,986
2410,646,1606
2411,1493,594
2412,1489,1009
2413,818,852
2414,472,1259
2415,1445,293
2417,769,587
2418,1486,140
2419,1084,194
2420,545,143
2421,1248,1368
2423,619,145
2425,342,500
2426,1007,485
2428,1589,1426
2429,342,500
2431,1301,1034
2434,828,293
2435,209,293
2438,360,1174
2439,996,1259
2440,936,143
2443,1404,593
2445,1338,1278
2446,1007,485
2448,1196,1181
2451,173,788
2452,389,1259
2457,1002,879
2460,508,362
2465,1250,1423
2467,65,293
2468,1076,986
2469,858,1426
2471,730,1482
2473,952,362
2474,1395,1012
2475,758,781
2476,1084,194
2477,1605,1531
2478,342,500
2480,578,1278
2482,1196,1181
2484,646,1606
2486,1301,1034
2487,1674,1420
2489,327,92
2491,350,362
2492,1509,620
2493,1147,1027
2495,881,1012
2496,1418,896
2498,1328,432
2499,65,293
2500,342,500
2502,133,114
2503,1286,854
2504,1186,312
2505,29,1678
2506,1675,1550
2508,479,520
2509,1680,587
2510,492,362
2512,269,33
2513,242,1531
2515,1007,485
2517,589,1308
2518,1675,1550
2521,1282,25
2523,612,54
2527,209,293
2529,769,587
2532,130,145
2536,1197,777
2537,1219,121
2540,304,1673
2542,1163,561
2547,342,500
2549,263,143
2551,475,1550
2552,173,788
2553,911,1531
2554,1613,250
2562,173,788
2563,855,1591
2565,1007,485
2566,342,500
2567,1509,620
2569,273,362
2572,1432,362
2573,89,937
2577,1007,485
2578,315,131
2580,619,145
2582,1173,805
2583,508,362
2584,1483,561
2587,1421,105
2588,1250,1423
2589,686,594
2590,1114,113
2593,56,1497
2594,131,1486
2595,769,587
2596,914,226
2597,686,594
2602,1567,1531
2605,208,33
2612,356,92
2616,1650,1426
2617,1301,1034
2619,780,1067
2621,828,293
2626,1172,810
2631,421,1424
2632,1245,1259
2634,1120,250
2636,389,1259
2637,535,426
2638,173,788
2640,1343,25
2642,1378,322
2645,606,810
2647,1421,105
2648,921,143
2649,828,293
2650,1301,1034
2651,5,1637
2656,65,293
2659,1577,362
2661,84,1308
2668,977,871
2669,782,1562
2671,1659,825
2672,1089,1621
2673,746,1200
2679,508,362
2680,816,623
2681,1084,194
2682,988,727
2687,1051,955
2690,606,810
2692,618,105
2693,1007,485
2694,342,500
2696,1343,25
2699,249,164
2700,1680,587
2703,1542,745
2705,342,500
2706,1279,1606
2708,1464,745
2709,342,500
2710,671,1426
2712,1652,1368
2718,48,500
2726,1301,1034
2733,1051,955
2734,1233,1257
2735,1298,335
2738,449,1139
2747,179,1259
2750,1483,561
2751,1489,1009
2753,126,871
2757,988,727
2758,1419,362
2759,1421,105
2760,1432,362
2762,64,206
2764,1142,485
2768,499,986
2770,48,500
2773,1455,213
2775,1221,1426
2776,984,827
2779,403,1687
2781,421,1424
2782,434,968
2784,610,1239
2787,324,1145
2789,1002,879
2792,1578,1249
2798,1646,114
2802,969,1141
2803,1167,250
2807,633,568
2813,1172,810
2816,1545,866
2817,1087,622
2818,1509,620
2819,48,500
2820,1483,561
2822,271,362
2823,498,506
2826,828,293
2827,1250,1423
2830,619,145
2834,535,426
2836,683,1606
2837,1694,1621
2839,1245,1259
2840,1221,1426
2844,1542,745
2846,739,1181
2850,263,143
2854,353,755
2855,135,1618
2858,748,781
2859,633,568
2860,491,679
2863,342,500
2864,1421,105
2865,1007,485
2866,272,1687
2869,565,500
2870,1114,113
2875,686,594
2876,53,1202
2878,1504,587
2883,1404,593
2886,1069,362
2887,1084,194
2888,64,206
2889,74,250
2890,1483,561
2894,1455,213
2896,342,500
2898,769,587
2899,209,293
2900,598,362
2902,342,500
2904,421,1424
2906,130,145
2908,976,1009
2909,50,312
2910,598,362
2911,1301,1034
2913,769,587
2915,389,1259
2916,421,1424
2919,1286,854
2920,936,143
2921,509,110
2922,1526,1621
2923,282,113
2925,1301,1034
2927,324,1145
2928,316,605
2929,1255,587
2931,1279,1606
2933,1509,620
2935,578,1278
2939,411,561
2940,209,293
2941,1142,485
2942,1493,594
2945,1173,805
2946,545,143
2947,230,1424
2948,606,810
2949,1387,933
2950,1011,745
2952,1680,587
2955,769,587
2957,450,1492
2961,739,1181
2962,575,1257
2963,1142,485
2964,3,1281
2965,531,1058
2966,1221,1426
2967,1020,1329
2969,130,145
2970,342,500
2974,958,1041
2976,1245,1259
2978,342,500
2979,35,20
2981,1639,1181
2983,64,206
2987,1483,561
2988,1680,587
2991,1135,1329
2992,1047,127
2994,261,1229
2996,50,312
2997,1147,1027
2998,1646,114
3000,1509,620
3003,284,1009
3007,575,1257
3009,173,788
3011,546,250
3012,1226,1669
3013,1301,1034
3016,996,1259
3019,512,362
3020,497,149
3021,1301,1034
3022,936,143
3024,1549,1329
3025,1625,1141
3026,1098,897
3027,389,1259
3028,1503,580
3031,958,1041
3032,1649,945
3033,302,1458
3034,558,92
3035,1186,312
3038,1250,1423
3041,819,798
3042,1051,955
3046,1020,1329
3048,1061,1259
3049,421,1424
3051,1573,14
3053,1070,1423
3056,1142,485
3060,617,131
3061,1301,1034
3063,342,500
3065,498,506
3066,50,312
3070,173,788
3072,1554,1678
3075,184,1009
3077,1342,362
3080,459,1330
3081,976,1009
3082,628,149
3084,64,206
3085,342,500
3090,1142,485
3094,1474,480
3097,1250,1423
3099,937,1174
3103,1483,561
3104,927,605
3105,618,105
3106,686,594
3107,1503,580
3114,1007,485
3115,1040,1516
3124,1228,121
3126,628,149
3127,1142,485
3130,799,920
3131,248,1596
3134,1196,1181
3136,959,1095
3140,806,1497
3143,1172,810
3146,434,968
3147,1493,594
3153,342,500
3154,765,1229
3155,1578,1249
3156,173,788
3160,806,1497
3162,29,1678
3165,1221,1426
3166,1142,485
3167,358,1257
3168,976,1009
3169,1098,897
3170,1489,1009
3171,1675,1550
3172,342,500
3173,84,1308
3176,173,788
3177,184,1009
3179,34,1368
3180,173,788
3181,1493,594
3184,342,500
3185,342,500
3186,1589,1426
3188,618,105
3189,589,1308
3190,1301,1034
3191,65,293
3193,1375,805
3194,619,145
3195,769,587
3197,1220,125
3198,1255,587
3201,389,1259
3202,806,1497
3204,508,362
3205,242,1531
3206,526,1453
3208,1662,630
3210,50,312
3214,729,1175
3217,1694,1621
3221,130,145
3223,333,1497
3225,806,1497
3226,1103,1368
3227,57,314
3229,1,854
3232,342,500
3233,414,206
3236,1301,1034
3237,342,500
3240,173,788
3247,769,587
3248,801,766
3250,1301,1034
3251,173,788
3253,196,1667
3254,828,293
3257,219,1081
3260,565,500
3262,1286,854
3268,198,1009
3269,242,1531
3273,1388,1249
3277,818,852
3281,1007,485
3284,589,1308
3285,421,1424
3286,173,788
3287,225,593
3288,565,500
3289,1421,105
3290,1375,805
3291,1172,810
3294,1026,351
3295,390,1546
3296,1,854
3297,686,594
3301,819,798
3303,208,33
3305,1445,293
3306,64,206
3308,1409,1174
3309,184,1009
3311,686,594
3312,1493,594
3313,891,1012
3315,957,1306
3316,130,145
3320,53,1202
3325,988,727
3326,479,520
3329,1051,955
3332,342,500
3333,227,602
3334,282,113
3335,1503,580
3336,828,293
3337,686,594
3342,120,897
3343,342,500
3344,1503,580
3345,635,1229
3350,130,145
3353,1301,1034
3354,236,647
3355,683,1606
3356,352,859
3357,1322,252
3358,741,362
3360,1007,485
3361,806,1497
3362,1250,1423
3364,1338,1278
3365,1301,1034
3366,342,500
3368,173,788
3369,619,145
3371,342,500
3375,1493,594
3377,1504,587
3378,769,587
3380,1393,1383
3381,1421,105
3389,173,788
3391,1142,485
3392,1663,1398
3397,769,587
3398,242,1531
3402,769,587
3405,535,426
3406,1607,593
3407,1142,485
3409,1070,1423
3411,1607,593
3412,1040,1516
3416,374,131
3419,769,587
3420,195,1079
3425,1613,250
3426,1533,602
3429,1421,105
3430,926,852
3433,1147,1027
3434,65,293
3435,1432,362
3440,1464,745
3445,352,859
3448,1503,580
3449,1250,1423
3452,70,8
3453,1221,1426
3457,48,500
3459,1135,1329
3463,1393,1383
3464,1565,1481
3469,173,788
3471,1285,1259
3473,342,500
3475,806,1497
3477,130,145
3478,342,500
3479,1120,250
3482,1070,1423
3487,1002,879
3491,844,1458
3492,1135,1329
3494,1172,810
3495,117,1492
3499,342,500
3501,1680,587
3502,64,206
3503,769,587
3504,1680,587
3505,342,500
3507,617,131
3510,1,854
3520,686,594
3521,577,114
3522,1147,1027
3524,828,293
3527,1578,1249
3529,686,594
3530,686,594
3532,173,788
3533,459,1330
3537,1301,1034
3539,1402,250
3540,1404,593
3542,1634,143
3544,65,293
3545,360,1174
3546,769,587
3547,160,605
3549,876,580
3550,1073,580
3552,74,250
3555,1376,480
3556,1483,561
3557,1609,383
3559,1059,1696
3561,173,788
3562,1073,580
3563,1253,127
3564,1113,1145
3565,227,602
3568,828,293
3570,769,587
3576,1070,1423
3577,242,1531
3578,1255,587
3579,342,500
3580,330,986
3583,434,968
3584,1233,1257
3587,1179,580
3588,1530,879
3589,1051,955
3592,1261,25
3593,1542,745
3603,195,1079
3605,624,871
3609,769,587
3611,508,362
3612,227,602
3614,1051,955
3615,70,8
3623,1462,893
3624,792,805
3625,769,587
3626,646,1606
3627,1,854
3629,936,143
3630,173,788
3631,342,500
3632,969,1141
3633,828,293
3634,342,500
3635,844,1458
3636,942,125
3637,531,1058
3641,1142,485
3642,209,293
3646,1611,1081
3649,492,362
3651,396,164
3653,1070,1423
3654,1287,1009
3656,617,131
3658,130,145
3659,198,1009
3661,1301,1034
3663,996,1259
3665,1388,1249
3667,1504,587
3668,251,194
3670,1051,955
3671,1344,713
3673,1504,587
3674,342,500
3677,1250,1423
3678,1003,61
3680,730,1482
3681,1483,561
